"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2023","8.40","8.70","8.83","8.39","542.50K","-2.78%"
"10/19/2023","8.64","8.44","8.73","8.36","625.50K","2.25%"
"10/18/2023","8.45","8.80","8.80","8.40","396.50K","-4.52%"
"10/17/2023","8.85","8.55","8.93","8.55","1.06M","3.87%"
"10/16/2023","8.52","8.43","8.86","8.17","1.06M","3.78%"
"10/13/2023","8.21","8.07","8.45","8.01","274.00K","0.74%"
"10/12/2023","8.15","8.25","8.50","8.15","306.50K","-1.93%"
"10/11/2023","8.31","8.40","8.59","8.25","1.06M","-0.36%"
"10/10/2023","8.34","8.00","8.43","8.00","564.00K","2.96%"
"10/09/2023","8.10","8.20","8.20","8.01","150.50K","-2.41%"
"10/06/2023","8.30","8.30","8.30","8.11","113.50K","0.48%"
"10/05/2023","8.26","8.00","8.30","8.00","416.00K","3.12%"
"10/04/2023","8.01","7.83","8.10","7.80","130.50K","2.30%"
"10/03/2023","7.83","7.79","7.90","7.79","226.00K","-0.25%"
"10/02/2023","7.85","7.90","7.90","7.79","108.00K","-0.38%"
"09/28/2023","7.88","7.92","8.00","7.88","6.00K","-1.25%"
"09/27/2023","7.98","7.95","7.98","7.95","9.50K","1.01%"
